Model,Accuracy,Balanced_Accuracy,Precision_Weighted,Precision_Macro,Recall_Weighted,Recall_Macro,Weighted_F1,Macro_F1,Cohen_Kappa,Hamming_Loss,ROC_AUC,Log_Loss
LightGBM,0.9883689256918718,0.9845292032261721,0.9894464882405237,0.9543432263588578,0.9883689256918718,0.9845292032261721,0.9886968242726218,0.9661720838250261,0.9866836622495577,0.011631074308128132,0.9998843310845837,0.03653576871540881
XGBoost,0.9878786227936369,0.9724172098291908,0.9880934705538603,0.9633671210484589,0.9878786227936369,0.9724172098291908,0.987952902565036,0.9675803352278365,0.986117115786675,0.012121377206363042,0.999885666231807,0.03371202573180199
Random Forest,0.9870069731967749,0.9837095595826838,0.988193472120843,0.9519426899376147,0.9870069731967749,0.9837095595826838,0.9873709181747929,0.9641840446706386,0.9851250333747879,0.012993026803225104,0.9997957043602992,0.04241499626632657
Decision Tree,0.98469165395511,0.9746517023663264,0.9857097815721849,0.9484305767399318,0.98469165395511,0.9746517023663264,0.985042041674427,0.9588983183400694,0.9824730892440009,0.015308346044889955,0.9946952870501542,0.35623464085671147
Logistic Regression,0.8225103508389627,0.8101495604118168,0.846509574268721,0.7674210125609187,0.8225103508389627,0.8101495604118168,0.8278651360180247,0.7588159180284468,0.7973567007905005,0.17748964916103727,0.9740077761925559,0.6416938407926139
