Feature,Importance
tcp_seq,32.54684845762071
http_content_length,25.609859869018415
tcp_len,11.241028717776327
mqtt_topic,6.729000452413016
mqtt_protoname,6.7179328152720785
dns_qry_name_len,6.616316783012855
mqtt_conack_flags,5.992263461645257
tcp_ack,5.084308686067845
http_request_version,4.382249989160144
http_request_method,2.632681189140607
tcp_connection_fin,2.5299862745722144
http_response,2.3358723778729584
tcp_flags_ack,2.039713787836313
tcp_connection_synack,1.8990641824835566
tcp_ack_raw,1.8866231042318238
tcp_flags,1.6401358702791426
tcp_connection_rst,1.5441610693591428
icmp_checksum,1.3565808033586753
udp_stream,1.1558110816956866
icmp_seq_le,0.9665524440219583
tcp_checksum,0.871181925499134
dns_qry_qu,0.6660070223031658
http_referer,0.5494351445179355
mqtt_len,0.5265187663321151
mqtt_msgtype,0.5203410021147764
mqtt_hdrflags,0.5203410021147764
udp_time_delta,0.44622607585346097
mqtt_conflag_cleansess,0.3510738264150013
mqtt_ver,0.3510738264150013
mqtt_proto_len,0.3510738264150013
mqtt_conflags,0.3510738264150013
arp_opcode,0.35024159312210346
tcp_connection_syn,0.34739615954098285
mqtt_topic_len,0.34457445347703614
dns_qry_name,0.29187483251159535
arp_hw_size,0.17896616457069722
dns_retransmission,0.02330284432675924
icmp_unused,0.0
http_tls_port,0.0
dns_retransmit_request_in,0.0
dns_qry_type,0.0
dns_retransmit_request,0.0
mbtcp_trans_id,0.0
mbtcp_len,0.0
mqtt_msg_decoded_as,0.0
mbtcp_unit_id,0.0
