Model,Accuracy,Balanced_Accuracy,Precision_Weighted,Precision_Macro,Recall_Weighted,Recall_Macro,Weighted_F1,Macro_F1,Cohen_Kappa,Hamming_Loss,ROC_AUC,Log_Loss
XGBoost,0.9473718791064389,0.9275062997730202,0.9485056891368268,0.9416227715847005,0.9473718791064389,0.9275062997730202,0.9472599369573864,0.9329621542876524,0.942526277394785,0.0526281208935611,0.9986226912156049,0.14237190783023834
Random Forest,0.9447766097240473,0.928457408588294,0.9465469556811924,0.9206965473453875,0.9447766097240473,0.928457408588294,0.9450497667383816,0.9234437889174322,0.939703862528336,0.055223390275952695,0.9984627298771258,0.14599679633758722
LightGBM,0.9431668856767411,0.9294087605952307,0.9463049403780456,0.91019580557742,0.9431668856767411,0.9294087605952307,0.9440487873987189,0.9159902105010603,0.9379568903028557,0.05683311432325887,0.9986341791741651,0.12808887242316444
Decision Tree,0.9410315374507228,0.9256684958348544,0.9451875446575684,0.909854389775936,0.9410315374507228,0.9256684958348544,0.9419089117916544,0.913722247153933,0.9356236589438021,0.05896846254927727,0.9909523663220504,0.6306673814162853
Logistic Regression,0.7673455978975033,0.756095089728612,0.8074573720148085,0.7644041280322729,0.7673455978975033,0.756095089728612,0.7577086773884198,0.7248271796466838,0.7461415935269022,0.23265440210249672,0.9836036302506068,0.4979817807747563
