Model,Accuracy,Balanced_Accuracy,Precision_Weighted,Precision_Macro,Recall_Weighted,Recall_Macro,Weighted_F1,Macro_F1,Cohen_Kappa,Hamming_Loss,ROC_AUC,Log_Loss
XGBoost,0.9464520367936925,0.9266088062980267,0.9471587861413483,0.9402388121267298,0.9464520367936925,0.9266088062980267,0.946332384180285,0.9320295865310608,0.9415220152949609,0.05354796320630749,0.998604353051559,0.14054839313030243
Random Forest,0.9451051248357425,0.9284160081468967,0.9467815835987562,0.9218514054418184,0.9451051248357425,0.9284160081468967,0.9453474418811393,0.9241546167812362,0.9400616361440272,0.054894875164257555,0.9984561311339499,0.1442844222014428
LightGBM,0.942969776609724,0.9288568924977285,0.946016564482134,0.9100687943995306,0.942969776609724,0.9288568924977285,0.9438054379510921,0.915786468014787,0.9377411209746994,0.057030223390275955,0.9986301232714387,0.1278638391967175
Decision Tree,0.9424770039421814,0.9264609509360808,0.945799928936027,0.914476158088556,0.9424770039421814,0.9264609509360808,0.9429922815523352,0.9177229390788604,0.9371958496254016,0.05752299605781866,0.99132875613512,0.6053679263784838
Logistic Regression,0.7698094612352169,0.7595881875484408,0.799053958000538,0.7556407614029965,0.7698094612352169,0.7595881875484408,0.7677027254450628,0.7350829965728873,0.7488747451634692,0.23019053876478318,0.9848868190648403,0.45448487112752867
